idx,stage,y_true,y_pred,statement,candidate,raw
0,stage1,0,0,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,"When I have many things to do, I think that eating will impede my work and is wasting too much time.",DECISION: 0
1,stage1,0,1,I lost a lot of weight lately. I haven't been eating well because I'm too busy.,"When I have a lot of things to finish, I loose my appetite and often forgets to eat.",DECISION: 1
2,stage1,1,0,I lost a lot of weight lately. I haven't been eating regularly because I'm too busy.,I don't need to eat because I don't feel hungry.,DECISION: 0
3,stage1,0,0,I gained a lot of weight recently because I can't control what to eat. I always feel hungry and need to eat something.,"When there is something that I want to eat, I often tell myself that it probably isn't that much calories and I can excercise later, but I never do that.",DECISION: 0
4,stage1,0,0,I gained a lot of weight recently. I feel so fat right now.,I am very stressed lately and I find eating as the only way to relieve that.,DECISION: 0
5,stage1,0,0,I gained a lot of weight recently because I'm too lazy to move and I love eating junk food. They are very good and don't like to eat other things.,It takes too much effort to excercise and I will feel too tired after it. Junk foods are cheap and tasty so I like them.,DECISION: 0
6,stage1,0,0,I feel a lot of pressure recently. I'm just overwhelmed by all the tasks that I have to finish.,There are too many deadlines to catch and I can't imagine how bad I'm gonna look if I don't make them on time.,DECISION: 0
7,stage1,0,0,I feel a lot of pressure recently and I don't know what to do. I think I overestimated what I can complete.,There are too many deadlines to catch and I can't imagine how bad I'm gonna look if I don't make them on time.,DECISION: 0
8,stage1,0,0,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,People here must already have established friends groups so they won't easily accept me. I can't just walk up to random people and meet them.,DECISION: 0
9,stage1,0,0,I am very sad these days because I don't have any friends in the city I just I moved to and I can't make any.,People here must already have established friends groups so they won't easily accept me. I can't just walk up to random people and meet them.,DECISION: 0
10,stage1,1,1,I feel very depressed. I can't do anything.,I don't know why but I'm just depressed.,DECISION: 1
11,stage1,0,0,I always forget to take my medications. I don't feel its effect anyway.,"After the take the medications, I don't feel like I'm getting better, so I don't remember taking it. Will it actually help me?",DECISION: 0
12,stage1,0,0,I don't want to take any medications. I don't know what they would do to me.,I don't know what's in the pills. Are they really helping me? I think the doctors are making me take it for no good reason. It might actually be harmful for me.,DECISION: 0
13,stage1,0,0,I don't want to take any medications. I don't trust them.,I've heard that doctors just want to sell you the pills. They don't really care if I get better. I don't trust what they give me.,DECISION: 0
14,stage1,0,0,I take medications when I feel like it. I skip some days if I'm feeling alright.,I might take some when I feel down. Why would I take it when I feel good?,DECISION: 0
15,stage1,0,0,I did not see my therapist consistently. I don't think they help me.,I felt better for a day or two and then became stressed out again. I think going to these sessions only have a shorterm effect and they are not real.,DECISION: 0
16,stage1,0,0,I did not see my therapist consistently. I don't think they help me.,Therapists just say things that I want to hear at the moment. They don't care if it treats me.,DECISION: 0
17,stage1,0,0,"I'm way too busy and stressed out lately, I have no time to see my therapist. There's just too many things on top of my mind.",When I'm stressed I think going to therapist is going to waste too much of my time. I could be using this time to do more things. ,DECISION: 0
18,stage1,0,0,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,I think its a hassle to have to go to doctor's. So I always try to do it later and ends up never doing it.,DECISION: 0
19,stage1,0,0,I always forget to schedule an appointment with my doctor. I don't feel like its necessary at this point.,I think its a hassle to have to go to doctor's. So I always try to do it later and ends up never doing it.,DECISION: 0
20,stage1,0,0,I don't organize my house that often. I'm too lazy to do it.,I piled too much things up and now it takes a lot of effort to organize them all. So I always tell myself that I will do it next week.,DECISION: 0
21,stage1,0,0,I can't be bothered to clean my house. It's not like that's gonna kill me.,I don't know why I need to clean my house. I think I can lively normally in a messy room.,DECISION: 0
22,stage1,0,0,"I want to clean my apartment once a week, but I'm hardly doing it.","Sometimes I tell myself that the apartment looks alright and I can just do it the week after, but it gets a whole lot messier and I don't know where to begin the next week and end up not doing it.",DECISION: 0
23,stage1,0,0,I awlays pile my trash up. I think it just doesn't bother me.,I find nothing wrong with piling up trash. I can eventually take it out when it start to bother me too much.,DECISION: 0
24,stage1,0,0,I don't like to talk to other people. I always start an argument.,I tend to argue with people if they don't agrree with me. So after getting angry many times I just stop talking to other people.,DECISION: 0
25,stage1,0,0,I find it very tiring to talk to other people. I have to care about what they think.,I'm afraid people will get mad at me for something I say. So I have to be very careful with what i say and that put a lot of stress in my mind.,DECISION: 0
26,stage1,1,0,I don't have anyone to talk to. No one really finds me to talk.,"If no one want to talk to me, then I'm fine that way.",DECISION: 0
27,stage1,0,0,"I don't know what to talk about with others, so I just don't talk to anyone.","I must always have something profound or interesting to say, or else I think other people will get bored and stop being friends with me.",DECISION: 0
28,stage1,0,0,"I don't know what to talk about with others, so I just don't talk to anyone.","I must always have something profound or interesting to say, or else I think other people will get bored and stop being friends with me.",DECISION: 0
